name,link,author,rating,language,genre,chapters,words,reviews,favs,follows,updated,published,characters,complete
The Prince's Slave,https://www.fanfiction.net/s/6143460/1/The-Prince-s-Slave,omega.whiskey,M,English,Romance/Drama,15,35769,264,342,469,6/9/2014,7/15/2010,"Zuko, Katara",False
The Golden Firebender,https://www.fanfiction.net/s/7710942/1/The-Golden-Firebender,Lady Pirate 1214,T,English,Adventure/Romance,22,48586,130,342,164,3/18/2012,1/4/2012,"Zuko, OC",True
A Week to Know You Again,https://www.fanfiction.net/s/7463021/1/A-Week-to-Know-You-Again,Em Dixon,M,English,Romance,10,41120,109,342,103,12/25/2011,10/14/2011,"Katara, Zuko",True
The Avatar and the Firelord,https://www.fanfiction.net/s/4498276/1/The-Avatar-and-the-Firelord,DJNS,T,English,Romance,26,92290,355,342,97,9/20/2008,8/25/2008,"Aang, Zuko",True
Opposite Elements,https://www.fanfiction.net/s/10772474/1/Opposite-Elements,LordStone,T,English,Drama/Romance,40,201252,410,341,303,2/26/2017,10/21/2014,"Sokka, Zuko, Mai, Azula",True
Boy Problems,https://www.fanfiction.net/s/3474333/1/Boy-Problems,killertrees,T,English,Romance/Humor,1,1256,110,341,64,,4/3/2007,"Zuko, Katara",True
Ten Minutes in Heaven,https://www.fanfiction.net/s/6613202/1/Ten-Minutes-in-Heaven,heza08,T,English,Humor/Romance,1,2466,73,341,52,,1/1/2011,"Katara, Zuko",True
Avatar: The Comet's Wake,https://www.fanfiction.net/s/6675305/1/Avatar-The-Comet-s-Wake,Singer of Time,T,English,Humor/Romance,38,193802,358,339,231,7/3/2012,1/21/2011,"Aang, Katara",False
All I've Ever Needed,https://www.fanfiction.net/s/12050519/1/All-I-ve-Ever-Needed,xkii22,T,English,Romance/Drama,9,20743,204,338,456,9/1/2017,7/14/2016,"[Mai, Ozai] [Ty Lee, Azula]",False
A Mountain Divides Them Apart,https://www.fanfiction.net/s/10079860/1/A-Mountain-Divides-Them-Apart,teacupdestiny,M,English,Adventure/Romance,29,26035,127,336,126,3/1/2014,2/3/2014,"[Katara, Zuko]",True
Cursed Kiss,https://www.fanfiction.net/s/11252542/1/Cursed-Kiss,alwaysZutarian,M,English,Romance/Fantasy,11,69113,442,335,508,11/10/2018,5/16/2015,"[Zuko, Katara]",False
The Uncle and Son Trip,https://www.fanfiction.net/s/4616281/1/The-Uncle-and-Son-Trip,AvocadoLove,K,English,Friendship/Family,1,1522,46,334,41,,10/25/2008,"Zuko, Iroh",True
For Solace,https://www.fanfiction.net/s/6740881/1/For-Solace,AzarDarkstar,K+,English,Drama/Friendship,1,2151,28,334,57,,2/13/2011,"Zuko, Toph",True
Destiny's Call,https://www.fanfiction.net/s/3200091/1/Destiny-s-Call,Liselle129,T,English,Romance/Humor,45,164052,906,333,107,8/23/2007,10/15/2006,"Aang, Katara",True
The Avatar's Marriage,https://www.fanfiction.net/s/6747812/1/The-Avatar-s-Marriage,Light-Eco-Sage,M,English,Romance,11,24401,223,333,289,4/4/2012,2/15/2011,"[Aang, Katara]",False
The Third Child of the Fire Nation,https://www.fanfiction.net/s/6833011/1/The-Third-Child-of-the-Fire-Nation,PerfectTwo,T,English,Romance/Adventure,21,118434,158,333,160,2/9/2012,3/17/2011,Sokka,True
Assimilation,https://www.fanfiction.net/s/5859382/1/Assimilation,Rebecca Hb,T,English,Tragedy/Family,1,2825,60,332,62,,3/31/2010,"Sokka, Mai",True
280 Days,https://www.fanfiction.net/s/6828272/1/280-Days,Like A Dove,T,English,Romance/Humor,11,5677,228,332,87,6/4/2011,3/16/2011,"Zuko, Katara",True
Of Fire,https://www.fanfiction.net/s/6330068/1/Of-Fire,FeiFei08,M,English,,34,219851,291,330,306,4/23/2016,9/16/2010,"Azula, Ty Lee",False
Sokka the Ladies Man,https://www.fanfiction.net/s/8145834/1/Sokka-the-Ladies-Man,General Maraxus,M,English,,32,106011,394,330,337,2/17,5/24/2012,"Sokka, Azula, Ty Lee, Suki",False
A Different Path,https://www.fanfiction.net/s/10288233/1/A-Different-Path,kangaroo2010,T,English,Adventure/Drama,87,179526,321,329,140,5/25/2014,4/21/2014,"Zuko, Katara, unknown 9",True
The War Prize,https://www.fanfiction.net/s/8318486/1/The-War-Prize,The Junkiest Toon,T,English,,6,21314,239,329,437,1/1/2017,7/13/2012,"[Katara, Zuko] Lu Ten, Kya",False
You are Fire: Book Two,https://www.fanfiction.net/s/10837211/1/You-are-Fire-Book-Two,beachbrat2204,T,English,Friendship/Romance,8,51360,228,329,389,5/30/2018,11/19/2014,"[Zuko, OC] Iroh, unknown 9",False
Camp Zuko,https://www.fanfiction.net/s/8833993/1/Camp-Zuko,Reverie Wilde,M,English,Romance/Friendship,30,117827,273,329,247,6/22/2015,12/25/2012,"[Zuko, Sokka]",True
Escape Velocity,https://www.fanfiction.net/s/11598032/1/Escape-Velocity,the-yellow-rose-girl,T,English,Romance/Friendship,19,4111,170,329,425,2/12,11/4/2015,"[Azula, Ty Lee]",False
Oasis,https://www.fanfiction.net/s/2784489/1/Oasis,Vicki So,M,English,Romance/Drama,1,5263,85,327,53,,2/4/2006,"Katara, Zuko",True
Toph Called It Love,https://www.fanfiction.net/s/3245251/1/Toph-Called-It-Love,Beacon,K,English,Romance/Humor,1,627,114,327,43,,11/14/2006,"Zuko, Katara",True
An Auspicious Beginning,https://www.fanfiction.net/s/4572744/1/An-Auspicious-Beginning,DJNS,T,English,Romance/Humor,1,6103,78,328,34,,10/3/2008,"Zuko, Mai",True
Land of Fire and Stone,https://www.fanfiction.net/s/4028299/1/Land-of-Fire-and-Stone,Arcole,T,English,Romance/Adventure,30,57033,190,327,97,8/28/2011,1/22/2008,"Zuko, Toph",True
Protection,https://www.fanfiction.net/s/2917946/1/Protection,Beacon,K+,English,Romance/Drama,1,2487,102,326,42,,5/1/2006,"Katara, Zuko",True
"Vengeance, thy name is Aang",https://www.fanfiction.net/s/11591379/1/Vengeance-thy-name-is-Aang,Young Napoleon22,M,English,Adventure/Angst,18,114928,131,325,350,2/28/2018,11/1/2015,"[Aang, Toph]",False
